iteration,norm
248,10373744575414497393471702670484210840498120833278282402283480910704312057856.000000000000000
249,20716547491593878812031360731799904175408218295397250595741088513028062707712.000000000000000
250,41371124507481539196478132181093049310429177868214115053480919440806549389312.000000000000000
251,82618132899269564173700138790949652305343467154758006576840620604274268700672.000000000000000
252,164987681527827325350045997456119388326129567098774450111127511753769239969792.000000000000000
253,329477486991491503353834824583960287350373531574874139009439725808203302174720.000000000000000
254,657957799875304657232424739306892071405306777460436700968799814421123535208448.000000000000000
255,1313918393616284273742316677811307791466000922097327368647210718805043785498624.000000000000000
256,2623836631018132781662125983388544756932856627095120932662492186046670152138752.000000000000000
257,5239661405120833392538268089588369118609428132536820729485100076725361254072320.000000000000000
258,10463275893479720964980292298469098524876733236826134463661757893783484893233152.000000000000000
259,20894411318102734988313729829038904448212231205486141924154270697705106992791552.000000000000000
260,41724447965736987556674060195582259972300634787399405944749376354979671177166848.000000000000000
261,83319958194474457948729573137418609164940026885023361784405158049352917381545984.000000000000000
262,166381662248816057645938423212314778476495429814513405439949335436625985778221056.000000000000000
263,332246055110955755018287218190022045241945497346174741557700580631969930479140864.000000000000000
264,663456041634557990356637444444924891144710157629538946642488237152431696819257344.000000000000000
265,1324836871156962147995140327643587449017828471551298396895512206750281518211399680.000000000000000
266,2645517137379036770023108340617837144998309075375152255160038775152788846554382336.000000000000000
267,5282708641356824587746755238536919836932648010471352185794942842273881591541399552.000000000000000
268,10548741043738914609528446930371504507704802021163992953153302970828964371745472512.000000000000000
269,21064079413166292021983709545041065514419994095054787561483025552708612491105533952.000000000000000
270,42061252577307666080434661998010687984431903610714199351849660735030157266051399680.000000000000000
271,83988489833032174804698106108561063083329622634098232939215872117485447779654303744.000000000000000
272,167708541315441920673481828358433781759363497808759532302291500737116647092316536832.000000000000000
273,334879386363722800409153991998770159395919645168436454443346193621764556403507200000.000000000000000
274,668681732698083301920327557739165970266253334199641250489298246451944143123327746048.000000000000000
275,1335206073497049602033909332255849638404888527193803099400345460805328977836340412416.000000000000000
276,2666090705563607305216768628755361635487285679370423914884758128561273524358869942272.000000000000000
277,5323525144590877961346958930662900869906214697241592132657975224065056199815051870208.000000000000000
278,10629710850908428866090622941254624923220242466452942679020654042702029436903887994880.000000000000000
279,21224688737087022638692347921369681893091155943104370627290126982093326357683066896384.000000000000000
280,42379802808568927997247028600904697427177962618327657208445721971022042435086410842112.000000000000000
281,84620237685543443345486451310537732423140775786716865797211823742053262473577629745152.000000000000000
282,168961300033662103195807682279283405387903812112487887068456428614095595248844110036992.000000000000000
283,337363365862076382771005883084736753320953344482233350474617976348226337912582687424512.000000000000000
284,673606487018156363419189524840348955578957488063507447105232019500527785446182156763136.000000000000000
285,1344968913420448794459808825334688196788939607270658837960041393048985319732311484268544.000000000000000
286,2685442525685192071001649289203734401895936226492977230342430170697365112785734268354560.000000000000000
287,5361880013590322097285006735782712072135740311260419096330514806644342394230861042024448.000000000000000
288,10705720928250674930279807151929997430085348787918479739674564340218135101771275994923008.000000000000000
289,21375305304624552723729329102915557506432723435919986827885636290374746276113384197849088.000000000000000
290,42678220178022952190527171707359985001098304903364570555595788609690002342340366021165056.000000000000000
291,85211423589879194950992780084956071736521202318964181136313344684338963066574497986379776.000000000000000
292,170132339322425563872096034757149034783788862155091951066599345111827205490346106367770624.000000000000000
293,339682709204478763141042226616481739240006861941927712480874732095707906263176797451452416.000000000000000
294,678199561843222190496550458695665307603120828590454697103702603623209436385821694143496192.000000000000000
295,1354063554551448519547344154946668165497503291888859459961288098060658592226342930292408320.000000000000000
296,2703448217221761344301725471972319661963501123787477070528538943700071144971111930211074048.000000000000000
297,5397523059568238796275425628999087421445655455575516404498511293508649123275111563555504128.000000000000000
298,10776268017995984884870909601329982402209460021097917724764498482001059797869807373454934016.000000000000000
299,21514916789803185238267794110536580319692774151292520754133458898813203096439516592294854656.000000000000000
300,42954468311485627185243354470384891623970499500297847870941331025521879130723937471810240512.000000000000000
301,85757951147899709147112118662910373080729535517821019861496462313180318245964034520448499712.000000000000000
302,171213418670037127686953965606097988040285630294679295547287353663400882831743024849523572736.000000000000000
303,341820839094251137957611920844649436394100714345910291729387403951440099044135463108846026752.000000000000000
304,682427608326641834537270243994722023032507580080382515689688495844749987284423041919035113472.000000000000000
305,1362422907232437229672464174117356275608265532178543545301772581836663816602912380684001607680.000000000000000
306,2719972809923606358665576340980504597982768522613100239908766479026016956563960321668240375808.000000000000000
307,5430182745960834066279788762491843588585269248305265159662731766598837837933227113744129064960.000000000000000
308,10840805826123139644402831985634124947610743879839720342673788989849816919069243401096010924032.000000000000000
309,21642424104502021193239408112544860598041353269299706319951037120379430630338230260116907622400.000000000000000
310,43206335914425840868763031108246100263516195521124010701468422410146555683463953741521998577664.000000000000000
311,86255371294544148666228306373889036834706187795348471591152953186415679549935639717935092596736.000000000000000
312,172195586509112079776789831880337610553483659575772165965965899785661519483126709115730245189632.000000000000000
313,343759744538490652896266246457364520943113378702924124199350221790469495143630792549318120177664.000000000000000
314,686254386772490895358807812938457106226646495517214601700200867153463946109852664965066001481728.000000000000000
315,1369974052609406516824552911106549390278680748521552981508587312510823632351613842193493297987584.000000000000000
316,2734869578964124468866877439000564947582252280732216488421161811168249761573366583631398341443584.000000000000000
317,5459563832264377142311219670638169346138582987010893043024431591859907352126434019928066515533824.000000000000000
318,10898740256239048238367361344141206784819824044965831016291773131201968870491784404540653463142400.000000000000000
319,21756631756862043497720310290724534895338030205109927279390072222705791445301114644675350237282304.000000000000000
320,43431417266477608734243745686970622438386095965548731337386780303652319833157681419966640455417856.000000000000000
321,86698842834911879362575334915246921514110345490559203568889094597146334395145807565932033506017280.000000000000000
322,173069100371890540677088934842221343478086355205422267064331525100520438093913339063815482824982528.000000000000000
323,345479819290466153041933928113095393912159602644232003500322646987062861575045522253140176136044544.000000000000000
324,689640439721619272027190383491963321788972638593396628638050639439111421463496058518047364306960384.000000000000000
325,1376637581079562556839207861582103492740047323975141757665099116187828023001639043495765191843381248.000000000000000
326,2747978706126864858490962645872790858573202350561142676398788611884928215697198823167735328453689344.000000000000000
327,5485344664464159930950034411430432898472587221724463000993398244587526301672236392982419813624184832.000000000000000
328,10949423925467580226020595090816914538498373882888249582431902889426428776297092243889078528582352896.000000000000000
329,21856236750924406055999161573122773906105518028104169824949642047615509688892321371373675780660789248.000000000000000
330,43627089751946944246580493059460773092716689693697552938245312202555099218083779400759514459627585536.000000000000000
331,87083086958575055783135566123437365565827602224743688542316850765845840913626443707105660530679873536.000000000000000
332,173823334806759667057915727141435020970930513394082720934223778220753397119846089888021205180473147392.000000000000000
