iteration,norm
450,4906982075833778833573623073727692293373462004911898099712.000000000000000
451,6542326174297738570515523678736008339438264479886767816704.000000000000000
452,8722679884039071135088385919992181731771014311177143451648.000000000000000
453,11629678191785556691785283807434126629306162046923989581824.000000000000000
454,15505489499876093227425105263224080709410281760734989778944.000000000000000
455,20672989587247248978133174607245991796559880555703568433152.000000000000000
456,27562658947867148961767552797881124188049197558393120751616.000000000000000
457,36748444208731853754187534592496133486381271242118736642048.000000000000000
458,48995571089583340307540773422884038831754656691432011595776.000000000000000
459,65324291999836728171455850856654667604963809809224167325696.000000000000000
460,87094878817134350915952504906685770512265688044539247329280.000000000000000
461,116120941240936046578876889876575925411425143939927021453312.000000000000000
462,154820510802868139133346497068370943869852473917325025738752.000000000000000
463,206417476719578388708259803238127189367238595712461175783424.000000000000000
464,275210154383344074488855473188464374299410708935050786766848.000000000000000
465,366929359837490127372085149173154348418526290345488149381120.000000000000000
466,489215819971879381370094423673395657923468129944802095529984.000000000000000
467,652256689561725672173541954994890029865772423217262712848384.000000000000000
468,869634200840445983752900167388687698143042599030241129136128.000000000000000
469,1159457143232417777683120949083163620488321950848019247136768.000000000000000
470,1545869432357554285416736671790663614861439774018431940034560.000000000000000
471,2061061441277153615470254649759743229462278328008217234243584.000000000000000
472,2747951650152240439448251599472915742689185156490406163120128.000000000000000
473,3663762012168319592653072890485355477835259996265349398921216.000000000000000
474,4884784885713732917736189074961515785996569052554023583875072.000000000000000
475,6512738647719806041802584223341472773871851322533498113228800.000000000000000
476,8683241450186391516680445278281985729932760086348445679353856.000000000000000
477,11577109036597643307605675521414224790833731091507612357754880.000000000000000
478,15435417796990315406994978966596807822532883298085194442997760.000000000000000
479,20579587908734813638293801957524704372665508762025637147836416.000000000000000
480,27438159615245536558468801502138316192999042493804987818180608.000000000000000
481,36582493276059491696540761705880031262140113755328842190290944.000000000000000
482,48774367229226550340701927463357952818332845579007664981016576.000000000000000
483,65029438671444635371360147716472287937826809516943892943994880.000000000000000
484,86701854253431050401654062657651994362846402618564626853396480.000000000000000
485,115597058996741357941915869700750568977323368073247960520982528.000000000000000
486,154122201242272771111927345705985085811720440688209366798565376.000000000000000
487,205486663336226096014072634236444027994889013065234608124067840.000000000000000
488,273969423562482316626425611014615247809728947887727036583641088.000000000000000
489,365275522313753175399121301577885449027330395528116530013274112.000000000000000
490,487011328466457503218137338244723716303297449968895156620886016.000000000000000
491,649318198770080921588757469882015278480731937617691055635824640.000000000000000
492,865717318255215211908199725972008062568515161384044969590784000.000000000000000
493,1154236102455360106671770454760679261198028771495136507390328832.000000000000000
494,1538909998225961593547426642914982097741494276621393598535958528.000000000000000
495,2051784793174886957783094315010721744445235047883954003271221248.000000000000000
496,2735586239467200542394231598672778555678659339658283467245879296.000000000000000
497,3647279389579047211341584315575616628280201699061187791724478464.000000000000000
498,4862814160632156139933532672899037050769667891231514809744752640.000000000000000
499,6483452464878823834124195324523753504091005809005978944261849088.000000000000000
